timestamp,roll,pitch,yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1.00224e+06,-3.0071,0.00888742,3.00948,-nan,1.18269e+12,-1.00519e+13,-9.87402e+06,1.18005e+06,-1.00294e+07
1.00722e+06,3.0891,1.17342,3.02504,-nan,2.67834e+12,-3.94683e+13,-1.35537e+07,1.48493e+06,-2.92055e+07
1.0122e+06,-0.0566179,1.36159,-0.210212,-nan,3.55375e+12,-8.90293e+13,-1.13688e+07,864854,-4.89637e+07
1.01718e+06,0.652569,1.25044,0.367789,-nan,5.43422e+12,-1.58776e+14,-8.21315e+06,1.84872e+06,-6.85693e+07
1.02216e+06,0.559621,1.34737,0.0986663,-nan,7.37642e+12,-2.49263e+14,-5.82082e+06,1.90009e+06,-8.85247e+07
1.02714e+06,1.14894,1.13173,0.505997,-nan,1.12756e+13,-3.60073e+14,-1.88674e+06,3.7962e+06,-1.07883e+08
1.03212e+06,1.0063,1.25677,0.18839,-nan,1.55472e+13,-4.91926e+14,1.37587e+06,4.13862e+06,-1.2775e+08
1.03709e+06,1.33037,1.03578,0.338553,-nan,2.13777e+13,-6.44185e+14,6.46968e+06,5.62197e+06,-1.46813e+08
1.04207e+06,1.2925,1.15889,0.162779,-nan,2.76457e+13,-8.17733e+14,1.06419e+07,6.01493e+06,-1.66541e+08
1.04705e+06,1.36237,1.04212,0.122684,-nan,3.43006e+13,-1.01224e+15,1.5896e+07,6.35587e+06,-1.85769e+08
1.05203e+06,1.39913,1.1301,0.0667426,-nan,4.10032e+13,-1.22847e+15,2.04066e+07,6.37104e+06,-2.05537e+08
1.05701e+06,1.42401,1.05799,0.0284896,-nan,4.75564e+13,-1.46636e+15,2.56063e+07,6.19973e+06,-2.2506e+08
1.06199e+06,1.47004,1.13412,0.0224342,-nan,5.39219e+13,-1.72661e+15,3.00848e+07,5.99396e+06,-2.45053e+08
1.06697e+06,1.49536,1.09296,0.0265853,-nan,6.00819e+13,-2.00934e+15,3.50027e+07,5.77335e+06,-2.64982e+08
1.07195e+06,1.52307,1.14073,0.0528338,-nan,6.61726e+13,-2.31505e+15,3.94278e+07,5.68191e+06,-2.85196e+08
1.07693e+06,1.56851,1.09866,0.136518,-nan,7.26856e+13,-2.64389e+15,4.42333e+07,6.04776e+06,-3.05352e+08
1.08191e+06,1.57274,1.12691,0.226261,-nan,8.0029e+13,-2.99627e+15,4.87024e+07,6.78743e+06,-3.257e+08
1.08689e+06,1.6171,1.1152,0.397777,-nan,8.91023e+13,-3.37249e+15,5.31097e+07,8.34794e+06,-3.46144e+08
1.09187e+06,1.69048,1.1317,0.629186,-nan,1.00848e+14,-3.77299e+15,5.68862e+07,1.07575e+07,-3.668e+08
1.09685e+06,1.69906,1.15532,0.822132,-nan,1.15826e+14,-4.19817e+15,5.99484e+07,1.36551e+07,-3.8764e+08
1.10182e+06,1.82643,1.19046,1.10992,-nan,1.34546e+14,-4.64852e+15,6.18462e+07,1.69902e+07,-4.08729e+08
1.1068e+06,2.03368,1.19521,1.46958,-nan,1.57444e+14,-5.1243e+15,6.23831e+07,2.0689e+07,-4.29874e+08
1.11178e+06,2.29578,1.22639,1.84987,-nan,1.84075e+14,-5.62595e+15,6.15374e+07,2.39532e+07,-4.51206e+08
1.11676e+06,2.45674,1.22225,2.07563,-nan,2.14222e+14,-6.15375e+15,5.9939e+07,2.69947e+07,-4.72616e+08
1.12174e+06,2.59642,1.21094,2.21278,-nan,2.47692e+14,-6.708e+15,5.78767e+07,2.98375e+07,-4.94097e+08
1.12672e+06,2.68026,1.17421,2.24358,-nan,2.84802e+14,-7.28888e+15,5.54635e+07,3.29366e+07,-5.15549e+08
1.1317e+06,2.74921,1.1428,2.25644,-nan,3.258e+14,-7.89652e+15,5.27835e+07,3.62272e+07,-5.3693e+08
